EMPCT;opc1;opc1desc;opc2;opc2d
4204;188;Engenharia de Telecomunicacoes (I);34;Engenharia de Computacao (I)
4205;707;Musica Erudita: Trombone;57;Letras - Licenciatura (N)
4206;712;Musica Erudita: Voz;58;Fonoaudiologia (I)
4207;713;Musica Erudita:Violao;6;Ciencias Biologicas (I)
4208;721;Musica Popular: Bateria;30;Filosofia (I)
4209;721;Musica Popular: Bateria;42;Ciencia da Computacao (N)
4210;722;Musica Popular: Contrabaixo;64;Comunicacao Social-Midialogia (I)
4211;723;Musica Popular: Guitarra;27;Educacao Fisica (I)
4212;723;Musica Popular: Guitarra;107;Nutricao (I)
4213;723;Musica Popular: Guitarra;;
4214;723;Musica Popular: Guitarra;16;Ciencias Sociais (I)
4215;2;Estatistica (I);;
4216;16;Ciencias Sociais (I);44;Ciencias Sociais (N)
4217;62;Tecnologia em Saneamento Ambiental (N);27;Educacao Fisica (I)
4218;57;Letras - Licenciatura (N);18;Linguistica (I)
4219;15;Medicina (I);;
4220;16;Ciencias Sociais (I);6;Ciencias Biologicas (I)
4221;37;Tecnologia em Construcao de Edificios (N);36;Tecnologia em Analise e Des. de Sist. (N)
4222;11;Engenharia Eletrica (I);41;Engenharia Eletrica (N)
4223;15;Medicina (I);109;Administracao (N)
4224;34;Engenharia de Computacao (I);11;Engenharia Eletrica (I)
4225;2;Estatistica (I);;
4226;2;Estatistica (I);17;Ciencias Economicas (I)
4227;2;Estatistica (I);29;Matematica - Licenciatura (N)
4228;2;Estatistica (I);27;Educacao Fisica (I)
4229;2;Estatistica (I);45;Educacao Fisica (N)
4230;2;Estatistica (I);17;Ciencias Economicas (I)
4231;2;Estatistica (I);29;Matematica - Licenciatura (N)
4232;2;Estatistica (I);;
4233;2;Estatistica (I);17;Ciencias Economicas (I)
4234;2;Estatistica (I);17;Ciencias Economicas (I)
4235;2;Estatistica (I);38;Pedagogia - Licenciatura (N)
4236;2;Estatistica (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
4237;2;Estatistica (I);42;Ciencia da Computacao (N)
4238;2;Estatistica (I);40;Fisica - Licenciatura (N)
4239;2;Estatistica (I);45;Educacao Fisica (N)
4240;2;Estatistica (I);;
4241;2;Estatistica (I);100;Ciencias do Esporte (I)
4242;5;Quimica (I);50;Quimica Tecnologica (N)
4243;5;Quimica (I);53;Geologia (I)
4244;5;Quimica (I);43;Engenharia de Alimentos (N)
4245;5;Quimica (I);9;Engenharia Quimica (I)
4246;5;Quimica (I);13;Engenharia de Alimentos (I)
4247;5;Quimica (I);50;Quimica Tecnologica (N)
4248;5;Quimica (I);50;Quimica Tecnologica (N)
4249;5;Quimica (I);;
4250;5;Quimica (I);50;Quimica Tecnologica (N)
4251;5;Quimica (I);50;Quimica Tecnologica (N)
4252;5;Quimica (I);50;Quimica Tecnologica (N)
4253;5;Quimica (I);50;Quimica Tecnologica (N)
4254;5;Quimica (I);21;Enfermagem (I)
4255;5;Quimica (I);46;Ciencias Biologicas - Licenciatura (N)
4256;5;Quimica (I);40;Fisica - Licenciatura (N)
4257;5;Quimica (I);13;Engenharia de Alimentos (I)
4258;5;Quimica (I);19;Historia (I)
4259;5;Quimica (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
4260;5;Quimica (I);63;Farmacia (I)
4261;6;Ciencias Biologicas (I);46;Ciencias Biologicas - Licenciatura (N)
4262;6;Ciencias Biologicas (I);46;Ciencias Biologicas - Licenciatura (N)
4263;6;Ciencias Biologicas (I);58;Fonoaudiologia (I)
4264;6;Ciencias Biologicas (I);11;Engenharia Eletrica (I)
4265;6;Ciencias Biologicas (I);109;Administracao (N)
4266;6;Ciencias Biologicas (I);46;Ciencias Biologicas - Licenciatura (N)
4267;6;Ciencias Biologicas (I);46;Ciencias Biologicas - Licenciatura (N)
4268;6;Ciencias Biologicas (I);43;Engenharia de Alimentos (N)
4269;6;Ciencias Biologicas (I);46;Ciencias Biologicas - Licenciatura (N)
4270;6;Ciencias Biologicas (I);53;Geologia (I)
4271;6;Ciencias Biologicas (I);107;Nutricao (I)
4272;6;Ciencias Biologicas (I);46;Ciencias Biologicas - Licenciatura (N)
4273;6;Ciencias Biologicas (I);63;Farmacia (I)
4274;6;Ciencias Biologicas (I);19;Historia (I)
4275;6;Ciencias Biologicas (I);46;Ciencias Biologicas - Licenciatura (N)
4276;6;Ciencias Biologicas (I);110;Administracao Publica (N)
4277;6;Ciencias Biologicas (I);5;Quimica (I)
4278;6;Ciencias Biologicas (I);37;Tecnologia em Construcao de Edificios (N)
4279;6;Ciencias Biologicas (I);21;Enfermagem (I)
4280;6;Ciencias Biologicas (I);13;Engenharia de Alimentos (I)
4281;6;Ciencias Biologicas (I);;
4282;6;Ciencias Biologicas (I);107;Nutricao (I)
4283;6;Ciencias Biologicas (I);15;Medicina (I)
4284;6;Ciencias Biologicas (I);;
4285;6;Ciencias Biologicas (I);15;Medicina (I)
4286;6;Ciencias Biologicas (I);49;Engenharia de Controle e Automacao (N)
4287;7;Letras - Licenciatura (I);57;Letras - Licenciatura (N)
4288;7;Letras - Licenciatura (I);21;Enfermagem (I)
4289;7;Letras - Licenciatura (I);18;Linguistica (I)
4290;7;Letras - Licenciatura (I);57;Letras - Licenciatura (N)
4291;7;Letras - Licenciatura (I);57;Letras - Licenciatura (N)
4292;7;Letras - Licenciatura (I);57;Letras - Licenciatura (N)
4293;7;Letras - Licenciatura (I);86;Estudos Literarios (I)
4294;7;Letras - Licenciatura (I);64;Comunicacao Social-Midialogia (I)
4295;7;Letras - Licenciatura (I);19;Historia (I)
4296;7;Letras - Licenciatura (I);57;Letras - Licenciatura (N)
4297;7;Letras - Licenciatura (I);57;Letras - Licenciatura (N)
4298;7;Letras - Licenciatura (I);18;Linguistica (I)
4299;7;Letras - Licenciatura (I);6;Ciencias Biologicas (I)
4300;7;Letras - Licenciatura (I);30;Filosofia (I)
4301;8;Engenharia Agricola (I);45;Educacao Fisica (N)
4302;8;Engenharia Agricola (I);13;Engenharia de Alimentos (I)
4303;8;Engenharia Agricola (I);188;Engenharia de Telecomunicacoes (I)
4304;8;Engenharia Agricola (I);29;Matematica - Licenciatura (N)
4305;8;Engenharia Agricola (I);;
4306;8;Engenharia Agricola (I);30;Filosofia (I)
4307;8;Engenharia Agricola (I);11;Engenharia Eletrica (I)
4308;8;Engenharia Agricola (I);53;Geologia (I)
4309;8;Engenharia Agricola (I);45;Educacao Fisica (N)
4310;9;Engenharia Quimica (I);11;Engenharia Eletrica (I)
4311;9;Engenharia Quimica (I);29;Matematica - Licenciatura (N)
4312;9;Engenharia Quimica (I);13;Engenharia de Alimentos (I)
4313;9;Engenharia Quimica (I);12;Engenharia Civil (I)
4314;9;Engenharia Quimica (I);5;Quimica (I)
4315;9;Engenharia Quimica (I);39;Engenharia Quimica (N)
4316;9;Engenharia Quimica (I);63;Farmacia (I)
4317;9;Engenharia Quimica (I);63;Farmacia (I)
4318;9;Engenharia Quimica (I);39;Engenharia Quimica (N)
4319;9;Engenharia Quimica (I);12;Engenharia Civil (I)
4320;9;Engenharia Quimica (I);10;Engenharia Mecanica (I)
4321;9;Engenharia Quimica (I);17;Ciencias Economicas (I)
4322;9;Engenharia Quimica (I);10;Engenharia Mecanica (I)
4323;9;Engenharia Quimica (I);5;Quimica (I)
4324;9;Engenharia Quimica (I);11;Engenharia Eletrica (I)
4325;9;Engenharia Quimica (I);12;Engenharia Civil (I)
4326;9;Engenharia Quimica (I);10;Engenharia Mecanica (I)
4327;9;Engenharia Quimica (I);101;Engenharia de Manufatura (I)
4328;9;Engenharia Quimica (I);5;Quimica (I)
4329;9;Engenharia Quimica (I);102;Engenharia de Producao (I)
4330;10;Engenharia Mecanica (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
4331;10;Engenharia Mecanica (I);100;Ciencias do Esporte (I)
4332;10;Engenharia Mecanica (I);8;Engenharia Agricola (I)
4333;10;Engenharia Mecanica (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
4334;10;Engenharia Mecanica (I);102;Engenharia de Producao (I)
4335;10;Engenharia Mecanica (I);13;Engenharia de Alimentos (I)
4336;10;Engenharia Mecanica (I);39;Engenharia Quimica (N)
4337;10;Engenharia Mecanica (I);45;Educacao Fisica (N)
4338;10;Engenharia Mecanica (I);45;Educacao Fisica (N)
4339;10;Engenharia Mecanica (I);9;Engenharia Quimica (I)
4340;10;Engenharia Mecanica (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
4341;10;Engenharia Mecanica (I);41;Engenharia Eletrica (N)
4342;10;Engenharia Mecanica (I);11;Engenharia Eletrica (I)
4343;10;Engenharia Mecanica (I);;
4344;10;Engenharia Mecanica (I);34;Engenharia de Computacao (I)
4345;10;Engenharia Mecanica (I);34;Engenharia de Computacao (I)
4346;10;Engenharia Mecanica (I);11;Engenharia Eletrica (I)
4347;10;Engenharia Mecanica (I);2;Estatistica (I)
4348;10;Engenharia Mecanica (I);11;Engenharia Eletrica (I)
4349;10;Engenharia Mecanica (I);2;Estatistica (I)
4350;10;Engenharia Mecanica (I);;
4351;10;Engenharia Mecanica (I);29;Matematica - Licenciatura (N)
4352;10;Engenharia Mecanica (I);34;Engenharia de Computacao (I)
4353;10;Engenharia Mecanica (I);11;Engenharia Eletrica (I)
4354;10;Engenharia Mecanica (I);47;Ciencias Economicas (N)
4355;10;Engenharia Mecanica (I);49;Engenharia de Controle e Automacao (N)
4356;10;Engenharia Mecanica (I);11;Engenharia Eletrica (I)
4357;10;Engenharia Mecanica (I);11;Engenharia Eletrica (I)
4358;10;Engenharia Mecanica (I);41;Engenharia Eletrica (N)
4359;10;Engenharia Mecanica (I);12;Engenharia Civil (I)
4360;10;Engenharia Mecanica (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
4361;10;Engenharia Mecanica (I);17;Ciencias Economicas (I)
4362;10;Engenharia Mecanica (I);49;Engenharia de Controle e Automacao (N)
4363;10;Engenharia Mecanica (I);39;Engenharia Quimica (N)
4364;10;Engenharia Mecanica (I);102;Engenharia de Producao (I)
4365;10;Engenharia Mecanica (I);9;Engenharia Quimica (I)
4366;10;Engenharia Mecanica (I);41;Engenharia Eletrica (N)
4367;10;Engenharia Mecanica (I);12;Engenharia Civil (I)
4368;10;Engenharia Mecanica (I);11;Engenharia Eletrica (I)
4369;10;Engenharia Mecanica (I);12;Engenharia Civil (I)
4370;10;Engenharia Mecanica (I);34;Engenharia de Computacao (I)
4371;10;Engenharia Mecanica (I);102;Engenharia de Producao (I)
4372;10;Engenharia Mecanica (I);102;Engenharia de Producao (I)
4373;10;Engenharia Mecanica (I);11;Engenharia Eletrica (I)
4374;10;Engenharia Mecanica (I);49;Engenharia de Controle e Automacao (N)
4375;10;Engenharia Mecanica (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
4376;10;Engenharia Mecanica (I);12;Engenharia Civil (I)
4377;11;Engenharia Eletrica (I);17;Ciencias Economicas (I)
4378;11;Engenharia Eletrica (I);12;Engenharia Civil (I)
4379;11;Engenharia Eletrica (I);34;Engenharia de Computacao (I)
4380;11;Engenharia Eletrica (I);41;Engenharia Eletrica (N)
4381;11;Engenharia Eletrica (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
4382;11;Engenharia Eletrica (I);41;Engenharia Eletrica (N)
4383;11;Engenharia Eletrica (I);41;Engenharia Eletrica (N)
4384;11;Engenharia Eletrica (I);34;Engenharia de Computacao (I)
4385;11;Engenharia Eletrica (I);34;Engenharia de Computacao (I)
4386;11;Engenharia Eletrica (I);41;Engenharia Eletrica (N)
4387;11;Engenharia Eletrica (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
4388;11;Engenharia Eletrica (I);34;Engenharia de Computacao (I)
4389;11;Engenharia Eletrica (I);17;Ciencias Economicas (I)
4390;11;Engenharia Eletrica (I);34;Engenharia de Computacao (I)
4391;11;Engenharia Eletrica (I);188;Engenharia de Telecomunicacoes (I)
4392;11;Engenharia Eletrica (I);41;Engenharia Eletrica (N)
4393;11;Engenharia Eletrica (I);10;Engenharia Mecanica (I)
4394;11;Engenharia Eletrica (I);41;Engenharia Eletrica (N)
4395;11;Engenharia Eletrica (I);41;Engenharia Eletrica (N)
4396;11;Engenharia Eletrica (I);17;Ciencias Economicas (I)
4397;11;Engenharia Eletrica (I);41;Engenharia Eletrica (N)
4398;11;Engenharia Eletrica (I);34;Engenharia de Computacao (I)
4399;12;Engenharia Civil (I);21;Enfermagem (I)
4400;12;Engenharia Civil (I);9;Engenharia Quimica (I)
4401;12;Engenharia Civil (I);109;Administracao (N)
4402;12;Engenharia Civil (I);109;Administracao (N)
4403;12;Engenharia Civil (I);9;Engenharia Quimica (I)
4404;12;Engenharia Civil (I);109;Administracao (N)
4405;12;Engenharia Civil (I);89;Engenharia Ambiental (N)
4406;12;Engenharia Civil (I);34;Engenharia de Computacao (I)
4407;12;Engenharia Civil (I);10;Engenharia Mecanica (I)
4408;12;Engenharia Civil (I);109;Administracao (N)
4409;12;Engenharia Civil (I);10;Engenharia Mecanica (I)
4410;12;Engenharia Civil (I);10;Engenharia Mecanica (I)
4411;12;Engenharia Civil (I);64;Comunicacao Social-Midialogia (I)
4412;12;Engenharia Civil (I);102;Engenharia de Producao (I)
4413;12;Engenharia Civil (I);10;Engenharia Mecanica (I)
4414;12;Engenharia Civil (I);5;Quimica (I)
4415;12;Engenharia Civil (I);54;Geografia (I)
4416;12;Engenharia Civil (I);8;Engenharia Agricola (I)
4417;12;Engenharia Civil (I);10;Engenharia Mecanica (I)
4418;12;Engenharia Civil (I);;
4419;12;Engenharia Civil (I);;
4420;12;Engenharia Civil (I);40;Fisica - Licenciatura (N)
4421;12;Engenharia Civil (I);43;Engenharia de Alimentos (N)
4422;12;Engenharia Civil (I);102;Engenharia de Producao (I)
4423;12;Engenharia Civil (I);10;Engenharia Mecanica (I)
4424;12;Engenharia Civil (I);37;Tecnologia em Construcao de Edificios (N)
4425;12;Engenharia Civil (I);8;Engenharia Agricola (I)
4426;12;Engenharia Civil (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
4427;12;Engenharia Civil (I);;
4428;12;Engenharia Civil (I);102;Engenharia de Producao (I)
4429;12;Engenharia Civil (I);10;Engenharia Mecanica (I)
4430;12;Engenharia Civil (I);10;Engenharia Mecanica (I)
4431;12;Engenharia Civil (I);17;Ciencias Economicas (I)
4432;12;Engenharia Civil (I);9;Engenharia Quimica (I)
4433;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
4434;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
4435;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
4436;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
4437;13;Engenharia de Alimentos (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
4438;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
4439;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
4440;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
4441;13;Engenharia de Alimentos (I);15;Medicina (I)
4442;13;Engenharia de Alimentos (I);101;Engenharia de Manufatura (I)
4443;13;Engenharia de Alimentos (I);8;Engenharia Agricola (I)
4444;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
4445;13;Engenharia de Alimentos (I);21;Enfermagem (I)
4446;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
4447;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
4448;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
4449;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
4450;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
4451;13;Engenharia de Alimentos (I);2;Estatistica (I)
4452;13;Engenharia de Alimentos (I);46;Ciencias Biologicas - Licenciatura (N)
4453;13;Engenharia de Alimentos (I);102;Engenharia de Producao (I)
4454;14;Odontologia (I);21;Enfermagem (I)
4455;14;Odontologia (I);63;Farmacia (I)
4456;14;Odontologia (I);46;Ciencias Biologicas - Licenciatura (N)
4457;14;Odontologia (I);55;Geografia (N)
4458;14;Odontologia (I);102;Engenharia de Producao (I)
4459;14;Odontologia (I);21;Enfermagem (I)
4460;14;Odontologia (I);21;Enfermagem (I)
4461;14;Odontologia (I);45;Educacao Fisica (N)
4462;14;Odontologia (I);54;Geografia (I)
4463;14;Odontologia (I);107;Nutricao (I)
4464;14;Odontologia (I);107;Nutricao (I)
4465;14;Odontologia (I);63;Farmacia (I)
4466;14;Odontologia (I);27;Educacao Fisica (I)
4467;14;Odontologia (I);21;Enfermagem (I)
4468;14;Odontologia (I);42;Ciencia da Computacao (N)
4469;14;Odontologia (I);107;Nutricao (I)
4470;14;Odontologia (I);6;Ciencias Biologicas (I)
4471;14;Odontologia (I);45;Educacao Fisica (N)
4472;15;Medicina (I);63;Farmacia (I)
4473;15;Medicina (I);63;Farmacia (I)
4474;15;Medicina (I);;
4475;15;Medicina (I);10;Engenharia Mecanica (I)
4476;15;Medicina (I);21;Enfermagem (I)
4477;15;Medicina (I);14;Odontologia (I)
4478;15;Medicina (I);14;Odontologia (I)
4479;15;Medicina (I);39;Engenharia Quimica (N)
4480;15;Medicina (I);12;Engenharia Civil (I)
4481;15;Medicina (I);6;Ciencias Biologicas (I)
4482;15;Medicina (I);21;Enfermagem (I)
4483;15;Medicina (I);107;Nutricao (I)
4484;15;Medicina (I);21;Enfermagem (I)
4485;15;Medicina (I);107;Nutricao (I)
4486;15;Medicina (I);;
4487;15;Medicina (I);5;Quimica (I)
4488;15;Medicina (I);21;Enfermagem (I)
4489;15;Medicina (I);;
4490;15;Medicina (I);21;Enfermagem (I)
4491;15;Medicina (I);47;Ciencias Economicas (N)
4492;15;Medicina (I);10;Engenharia Mecanica (I)
4493;15;Medicina (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
4494;15;Medicina (I);107;Nutricao (I)
4495;15;Medicina (I);54;Geografia (I)
4496;15;Medicina (I);21;Enfermagem (I)
4497;15;Medicina (I);;
4498;15;Medicina (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
4499;15;Medicina (I);102;Engenharia de Producao (I)
4500;15;Medicina (I);54;Geografia (I)
4501;15;Medicina (I);107;Nutricao (I)
4502;15;Medicina (I);21;Enfermagem (I)
4503;15;Medicina (I);;
4504;15;Medicina (I);86;Estudos Literarios (I)
4505;15;Medicina (I);21;Enfermagem (I)
4506;15;Medicina (I);63;Farmacia (I)
4507;15;Medicina (I);14;Odontologia (I)
4508;15;Medicina (I);14;Odontologia (I)
4509;15;Medicina (I);14;Odontologia (I)
4510;15;Medicina (I);21;Enfermagem (I)
4511;15;Medicina (I);63;Farmacia (I)
4512;15;Medicina (I);21;Enfermagem (I)
4513;15;Medicina (I);43;Engenharia de Alimentos (N)
4514;15;Medicina (I);41;Engenharia Eletrica (N)
4515;15;Medicina (I);;
4516;15;Medicina (I);10;Engenharia Mecanica (I)
4517;15;Medicina (I);9;Engenharia Quimica (I)
4518;15;Medicina (I);42;Ciencia da Computacao (N)
4519;15;Medicina (I);110;Administracao Publica (N)
4520;15;Medicina (I);21;Enfermagem (I)
4521;15;Medicina (I);;
4522;15;Medicina (I);9;Engenharia Quimica (I)
4523;15;Medicina (I);107;Nutricao (I)
4524;15;Medicina (I);;
4525;15;Medicina (I);21;Enfermagem (I)
4526;15;Medicina (I);21;Enfermagem (I)
4527;15;Medicina (I);58;Fonoaudiologia (I)
4528;15;Medicina (I);14;Odontologia (I)
4529;15;Medicina (I);;
4530;15;Medicina (I);63;Farmacia (I)
4531;15;Medicina (I);21;Enfermagem (I)
4532;15;Medicina (I);21;Enfermagem (I)
4533;15;Medicina (I);21;Enfermagem (I)
4534;15;Medicina (I);12;Engenharia Civil (I)
4535;15;Medicina (I);6;Ciencias Biologicas (I)
4536;15;Medicina (I);21;Enfermagem (I)
4537;15;Medicina (I);8;Engenharia Agricola (I)
4538;15;Medicina (I);6;Ciencias Biologicas (I)
4539;15;Medicina (I);34;Engenharia de Computacao (I)
4540;15;Medicina (I);14;Odontologia (I)
4541;15;Medicina (I);6;Ciencias Biologicas (I)
4542;15;Medicina (I);2;Estatistica (I)
4543;15;Medicina (I);6;Ciencias Biologicas (I)
4544;15;Medicina (I);14;Odontologia (I)
4545;15;Medicina (I);47;Ciencias Economicas (N)
4546;15;Medicina (I);6;Ciencias Biologicas (I)
4547;15;Medicina (I);109;Administracao (N)
4548;15;Medicina (I);19;Historia (I)
4549;15;Medicina (I);21;Enfermagem (I)
4550;15;Medicina (I);;
4551;15;Medicina (I);10;Engenharia Mecanica (I)
4552;15;Medicina (I);21;Enfermagem (I)
4553;15;Medicina (I);14;Odontologia (I)
4554;15;Medicina (I);21;Enfermagem (I)
4555;15;Medicina (I);;
4556;15;Medicina (I);64;Comunicacao Social-Midialogia (I)
4557;15;Medicina (I);;
4558;15;Medicina (I);107;Nutricao (I)
4559;15;Medicina (I);109;Administracao (N)
4560;15;Medicina (I);58;Fonoaudiologia (I)
4561;15;Medicina (I);107;Nutricao (I)
4562;15;Medicina (I);64;Comunicacao Social-Midialogia (I)
4563;15;Medicina (I);;
4564;15;Medicina (I);14;Odontologia (I)
4565;15;Medicina (I);14;Odontologia (I)
4566;15;Medicina (I);39;Engenharia Quimica (N)
4567;15;Medicina (I);14;Odontologia (I)
4568;15;Medicina (I);107;Nutricao (I)
4569;15;Medicina (I);;
4570;15;Medicina (I);107;Nutricao (I)
4571;15;Medicina (I);12;Engenharia Civil (I)
4572;15;Medicina (I);17;Ciencias Economicas (I)
4573;15;Medicina (I);;
4574;15;Medicina (I);14;Odontologia (I)
4575;15;Medicina (I);27;Educacao Fisica (I)
4576;15;Medicina (I);14;Odontologia (I)
4577;15;Medicina (I);9;Engenharia Quimica (I)
4578;15;Medicina (I);;
4579;15;Medicina (I);21;Enfermagem (I)
4580;15;Medicina (I);107;Nutricao (I)
4581;15;Medicina (I);14;Odontologia (I)
4582;15;Medicina (I);14;Odontologia (I)
4583;15;Medicina (I);21;Enfermagem (I)
4584;15;Medicina (I);14;Odontologia (I)
4585;15;Medicina (I);14;Odontologia (I)
4586;15;Medicina (I);12;Engenharia Civil (I)
4587;15;Medicina (I);;
4588;15;Medicina (I);21;Enfermagem (I)
4589;15;Medicina (I);107;Nutricao (I)
4590;15;Medicina (I);21;Enfermagem (I)
4591;15;Medicina (I);13;Engenharia de Alimentos (I)
4592;15;Medicina (I);14;Odontologia (I)
4593;15;Medicina (I);21;Enfermagem (I)
4594;15;Medicina (I);43;Engenharia de Alimentos (N)
4595;15;Medicina (I);17;Ciencias Economicas (I)
4596;15;Medicina (I);49;Engenharia de Controle e Automacao (N)
4597;15;Medicina (I);63;Farmacia (I)
4598;15;Medicina (I);21;Enfermagem (I)
4599;15;Medicina (I);9;Engenharia Quimica (I)
4600;15;Medicina (I);6;Ciencias Biologicas (I)
4601;15;Medicina (I);39;Engenharia Quimica (N)
4602;15;Medicina (I);14;Odontologia (I)
4603;15;Medicina (I);;
4604;15;Medicina (I);63;Farmacia (I)
4605;15;Medicina (I);9;Engenharia Quimica (I)
4606;15;Medicina (I);10;Engenharia Mecanica (I)
4607;15;Medicina (I);107;Nutricao (I)
4608;15;Medicina (I);42;Ciencia da Computacao (N)
4609;15;Medicina (I);107;Nutricao (I)
4610;15;Medicina (I);107;Nutricao (I)
4611;15;Medicina (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
4612;15;Medicina (I);9;Engenharia Quimica (I)
4613;15;Medicina (I);21;Enfermagem (I)
4614;15;Medicina (I);6;Ciencias Biologicas (I)
4615;15;Medicina (I);14;Odontologia (I)
4616;15;Medicina (I);21;Enfermagem (I)
4617;15;Medicina (I);107;Nutricao (I)
4618;15;Medicina (I);;
4619;15;Medicina (I);107;Nutricao (I)
4620;15;Medicina (I);14;Odontologia (I)
4621;15;Medicina (I);14;Odontologia (I)
4622;15;Medicina (I);6;Ciencias Biologicas (I)
4623;15;Medicina (I);21;Enfermagem (I)
4624;15;Medicina (I);21;Enfermagem (I)
4625;15;Medicina (I);21;Enfermagem (I)
4626;15;Medicina (I);6;Ciencias Biologicas (I)
4627;15;Medicina (I);;
4628;15;Medicina (I);107;Nutricao (I)
4629;15;Medicina (I);63;Farmacia (I)
4630;15;Medicina (I);13;Engenharia de Alimentos (I)
4631;15;Medicina (I);;
4632;15;Medicina (I);14;Odontologia (I)
4633;15;Medicina (I);21;Enfermagem (I)
4634;15;Medicina (I);21;Enfermagem (I)
4635;15;Medicina (I);102;Engenharia de Producao (I)
4636;15;Medicina (I);9;Engenharia Quimica (I)
4637;15;Medicina (I);14;Odontologia (I)
4638;15;Medicina (I);21;Enfermagem (I)
4639;15;Medicina (I);;
4640;15;Medicina (I);9;Engenharia Quimica (I)
4641;15;Medicina (I);;
4642;15;Medicina (I);;
4643;15;Medicina (I);107;Nutricao (I)
4644;15;Medicina (I);;
4645;15;Medicina (I);6;Ciencias Biologicas (I)
4646;15;Medicina (I);27;Educacao Fisica (I)
4647;15;Medicina (I);14;Odontologia (I)
4648;15;Medicina (I);16;Ciencias Sociais (I)
4649;15;Medicina (I);6;Ciencias Biologicas (I)
4650;15;Medicina (I);;
4651;15;Medicina (I);34;Engenharia de Computacao (I)
4652;15;Medicina (I);;
4653;15;Medicina (I);5;Quimica (I)
4654;15;Medicina (I);21;Enfermagem (I)
4655;15;Medicina (I);19;Historia (I)
4656;15;Medicina (I);14;Odontologia (I)
4657;15;Medicina (I);21;Enfermagem (I)
4658;15;Medicina (I);14;Odontologia (I)
4659;15;Medicina (I);9;Engenharia Quimica (I)
4660;15;Medicina (I);107;Nutricao (I)
4661;15;Medicina (I);7;Letras - Licenciatura (I)
4662;15;Medicina (I);6;Ciencias Biologicas (I)
4663;15;Medicina (I);6;Ciencias Biologicas (I)
4664;15;Medicina (I);21;Enfermagem (I)
4665;15;Medicina (I);64;Comunicacao Social-Midialogia (I)
4666;15;Medicina (I);14;Odontologia (I)
4667;15;Medicina (I);14;Odontologia (I)
4668;15;Medicina (I);6;Ciencias Biologicas (I)
4669;15;Medicina (I);14;Odontologia (I)
4670;15;Medicina (I);21;Enfermagem (I)
4671;15;Medicina (I);;
4672;15;Medicina (I);6;Ciencias Biologicas (I)
4673;15;Medicina (I);6;Ciencias Biologicas (I)
4674;15;Medicina (I);63;Farmacia (I)
4675;15;Medicina (I);58;Fonoaudiologia (I)
4676;15;Medicina (I);6;Ciencias Biologicas (I)
4677;15;Medicina (I);;
4678;15;Medicina (I);5;Quimica (I)
4679;15;Medicina (I);9;Engenharia Quimica (I)
4680;15;Medicina (I);56;Licenciatura Integrada Quimica/Fisica (N)
4681;15;Medicina (I);14;Odontologia (I)
4682;15;Medicina (I);21;Enfermagem (I)
4683;15;Medicina (I);;
4684;15;Medicina (I);14;Odontologia (I)
4685;15;Medicina (I);;
4686;15;Medicina (I);107;Nutricao (I)
4687;15;Medicina (I);58;Fonoaudiologia (I)
4688;15;Medicina (I);;
4689;15;Medicina (I);21;Enfermagem (I)
4690;15;Medicina (I);;
4691;15;Medicina (I);16;Ciencias Sociais (I)
4692;15;Medicina (I);21;Enfermagem (I)
4693;15;Medicina (I);14;Odontologia (I)
